,total_capex,total_ocf,total_debt_issuance,aggregate_capex_to_ocf,aggregate_fcf_gap
2019-08-31,386000000.0,6000000000.0,0.0,0.06433333333333334,-5614000000.0
2019-09-30,11991325000.0,33715560000.0,702000000.0,0.35566145127057064,-21724235000.0
2019-12-31,3545000000.0,10680000000.0,0.0,0.33192883895131087,-7135000000.0
2020-03-31,15191000000.0,43020000000.0,76000000.0,0.35311483031148305,-27829000000.0
2020-04-26,155000000.0,909000000.0,0.0,0.1705170517051705,-754000000.0
2020-06-30,7252000000.0,32057000000.0,9918000000.0,0.2262220419877094,-24805000000.0
2020-08-31,436000000.0,5953000000.0,0.0,0.07324038300016798,-5517000000.0
2020-09-30,12185851000.0,42870555000.0,0.0,0.2842475680569099,-30684704000.0
2020-12-31,4174000000.0,12516000000.0,0.0,0.3334931287951422,-8342000000.0
2021-03-31,17195000000.0,57923000000.0,111000000.0,0.2968596239835644,-40728000000.0
2021-05-02,155000000.0,1874000000.0,0.0,0.08271077908217717,-1719000000.0
2021-06-30,1861000000.0,12715000000.0,18516000000.0,0.14636256390090444,-10854000000.0
2021-08-31,1062000000.0,5391000000.0,0.0,0.19699499165275458,-4329000000.0
2021-09-30,7681802000.0,31718429000.0,176000000.0,0.24218734162401298,-24036627000.0
2021-12-31,5865000000.0,14480000000.0,0.0,0.4050414364640884,-8615000000.0
2022-03-31,22428000000.0,61778000000.0,0.0,0.36304185956165624,-39350000000.0
2022-05-01,155000000.0,1731000000.0,0.0,0.08954361640670133,-1576000000.0
2022-06-30,1861000000.0,8965000000.0,12824000000.0,0.20758505298382599,-7104000000.0
2022-08-31,1719000000.0,6394000000.0,0.0,0.2688457929308727,-4675000000.0
2022-09-30,8154746000.0,34915587000.0,107000000.0,0.2335560332982516,-26760841000.0
2022-12-31,6274000000.0,11173000000.0,0.0,0.5615322652823772,-4899000000.0
2023-03-31,21580000000.0,66736000000.0,0.0,0.3233637017501798,-45156000000.0
2023-04-30,155000000.0,2911000000.0,0.0,0.05324630711095844,-2756000000.0
2023-06-30,1861000000.0,16476000000.0,0.0,0.11295217285748968,-14615000000.0
2023-08-31,1314000000.0,6974000000.0,0.0,0.18841410954975624,-5660000000.0
2023-09-30,11780631000.0,52070465000.0,0.0,0.22624401376096795,-40289834000.0
2023-12-31,9735000000.0,18853000000.0,0.0,0.5163634434837957,-9118000000.0
2024-03-31,31225000000.0,99000000000.0,0.0,0.3154040404040404,-67775000000.0
2024-04-28,155000000.0,15345000000.0,0.0,0.010101010101010102,-15190000000.0
2024-06-30,1861000000.0,25281000000.0,0.0,0.07361259443851113,-23420000000.0
2024-08-31,2303000000.0,7427000000.0,5627000000.0,0.3100848256361923,-5124000000.0
2024-09-30,16828300000.0,60559904000.0,0.0,0.2778785778788553,-43731604000.0
2024-12-31,15804000000.0,22291000000.0,0.0,0.7089856892916424,-6487000000.0
2025-03-31,48744000000.0,114235000000.0,746000000.0,0.42669934783560204,-65491000000.0
2025-04-27,155000000.0,27414000000.0,0.0,0.005654045378273875,-27259000000.0
2025-06-30,1861000000.0,32515000000.0,0.0,0.057235122251268644,-30654000000.0
2025-08-31,8502000000.0,8140000000.0,0.0,1.0444717444717444,362000000.0
2025-09-30,21287270000.0,79664477000.0,0.0,0.267211570346467,-58377207000.0
2025-12-31,29876000000.0,35758000000.0,0.0,0.8355053414620505,-5882000000.0
2026-03-31,87408000000.0,150727000000.0,53441000000.0,0.5799093725742568,-63319000000.0
2026-04-26,155000000.0,50344000000.0,0.0,0.003078817733990148,-50189000000.0
2026-06-30,1861000000.0,45387000000.0,13557000000.0,0.0410029303545068,-43526000000.0
2026-08-31,28499000000.0,23103000000.0,0.0,1.233562740769597,5396000000.0
