Date,btc_ret,qqq_ret,dxy_ret,vix_level,vix_delta,basis,basis_delta_30d,miner_basket_ret,hpc_vs_pure_ratio,miner_hpc_log_spread,ai_stock_basket_ret,btc_close,qqq_close
2022-01-01,,,,,,0.05,,,0.6823826916970938,-0.3821646469934319,,47686.8125,
2022-01-02,-0.007189054400021723,,,,,0.05,,,0.6823826916970938,-0.3821646469934319,,47345.21875,
2022-01-03,-0.018914636695763702,,,16.600000381469727,,-0.1532004885448738,,,0.6823826916970938,-0.3821646469934319,,46458.1171875,390.7568054199219
2022-01-04,-0.012138934663861074,-0.01305555561898539,0.000519431290698922,16.90999984741211,0.3099994659423828,0.1065221737362038,,-0.018048573101545295,0.5981500426668088,-0.5139136490339402,-0.022635934996052126,45897.57421875,385.68841552734375
2022-01-05,-0.05206628845481275,-0.031202920829674623,-0.0010390532146080972,19.729999542236328,2.8199996948242188,0.0718848916477229,0.04684357627991231,-0.09516478766832843,0.6474928553593873,-0.4346475196633179,-0.04921484872910749,43569.00390625,373.8396301269531
2022-01-06,-0.009410297303589778,-0.0007026971322881596,0.0006235456222880722,19.61000061035156,-0.11999893188476918,0.0150331272912296,-0.00834015673048415,-0.003389354869218753,0.6689049853177994,-0.40211325387642965,0.006323739267972967,43160.9296875,373.5770263671875
2022-01-07,-0.037847988650375176,-0.010892039528806893,-0.005312811516362351,18.76000022888184,-0.8500003814697195,0.09011936752778,0.05721092871948536,-0.03610388444883381,0.6553781181397136,-0.42254293030604007,-0.01654415251074408,41557.90234375,369.5300903320313
2022-01-08,0.004227048332596754,0.0,0.0,18.76000022888184,0.0,0.0391217093326222,0.005436611708786607,0.0,0.6553781181397136,-0.42254293030604007,0.0,41733.94140625,369.5300903320313
2022-01-09,0.004247935206112907,0.0,0.0,18.76000022888184,0.0,-0.0119112305755137,-0.0405300695105327,0.0,0.6553781181397136,-0.42254293030604007,0.0,41911.6015625,369.5300903320313
2022-01-10,-0.002157811766201214,0.0006581496030265507,0.002607835469195086,19.399999618530277,0.6399993896484375,-0.0218821859358133,-0.04545092238374907,-0.02750041023442942,0.6224579162791669,-0.47407925729936906,0.0031657505203961643,41821.26171875,369.77337646484375
2022-01-11,0.021633410637439378,0.014910240127026398,-0.003861965198840813,18.40999984741211,-0.9899997711181676,0.0194154151332417,-0.003775746649721884,0.04937410094445722,0.6766609675826771,-0.3905849179414916,0.00868055390413389,42735.85546875,375.3280944824219
2022-01-12,0.027993907251911834,0.003957601673425096,-0.006505140321344596,17.6200008392334,-0.7899990081787109,-0.0338850783532442,-0.0523198867915238,0.0255636686718137,0.6992161388796652,-0.3577953729854769,0.008456070895869822,43949.1015625,376.8164367675781
2022-01-13,-0.03137582795207003,-0.02533425281978583,-0.002212963477110414,20.309999465942383,2.6899986267089844,0.0235059717839559,0.0046810738575473534,-0.049545987541562066,0.7231478138731994,-0.3241416325282953,-0.04772121383309835,42591.5703125,367.3899841308594
2022-01-14,0.011859664695822615,0.006203351749128027,0.004000818720990921,19.190000534057617,-1.1199989318847656,0.0056522291202909,-0.012231763891394958,0.00818407064891498,0.7138381146086435,-0.33709907258973437,0.0156387037351656,43099.69921875,369.6761169433594
2022-01-15,0.0018011556222094572,0.0,0.0,19.190000534057617,0.0,-0.015952356439377,-0.031580592820992,0.0,0.7138381146086435,-0.33709907258973437,0.0,43177.3984375,369.6761169433594
2022-01-16,-0.0014722123644015362,0.0,0.0,19.190000534057617,0.0,0.0017037002205188,-0.013054252651027687,0.0,0.7138381146086435,-0.33709907258973437,0.0,43113.87890625,369.6761169433594
2022-01-17,-0.02022757169904886,0.0,0.0,19.190000534057617,0.0,0.2469409376227621,0.21852516211879117,0.0,0.7138381146086435,-0.33709907258973437,0.0,42250.55078125,369.6761169433594
2022-01-18,0.002956109256612036,-0.025209211165305473,0.005867017180523128,22.790000915527344,3.6000003814697266,-0.2012381452268135,-0.21689536957907418,-0.07673060913466294,0.7252873457695569,-0.32118736365652173,-0.031983945316651385,42375.6328125,360.4733581542969
2022-01-19,-0.01500991044287061,-0.011044691710064437,-0.002300787611735079,23.850000381469727,1.0599994659423828,-0.0486757744409139,-0.06094705148827066,-0.03341176025008639,0.7786537345833979,-0.25018883182369306,-0.015281213369337783,41744.328125,356.5139465332031
2022-01-20,-0.02581674309560386,-0.01307333740960064,0.0024051852383217493,25.59000015258789,1.739999771118164,0.5883662354056058,0.5472902104403367,0.0008619698298030827,0.7734470155985381,-0.2568981108646188,-0.02149365904981266,40680.41796875,351.8834533691406
2022-01-21,-0.10960468291543993,-0.028120287032036114,-0.0010450254431676824,28.850000381469727,3.260000228881836,0.5670248159421876,0.500903610454208,-0.13273735231718728,0.764584049032577,-0.2684233197833985,-0.025650408084208563,36457.31640625,342.126220703125
2022-01-22,-0.039930188839646726,0.0,0.0,28.850000381469727,0.0,1.0789817372128376,0.9668214166464554,0.0,0.764584049032577,-0.2684233197833985,0.0,35030.25,342.126220703125
2022-01-23,0.034966573781181565,0.0,0.0,28.850000381469727,0.0,0.629557755892141,0.4949018946594214,0.0,0.764584049032577,-0.2684233197833985,0.0,36276.8046875,342.126220703125
2022-01-24,0.010352967106698903,0.004567197144619965,0.0029233554215011173,29.899999618530277,1.0499992370605504,0.1851912951957839,0.048429790881269974,-0.0016145195118648745,0.7079785009064715,-0.3453415517007835,0.0005310211557721296,36654.328125,343.6923522949219
2022-01-25,0.008142486826951165,-0.023454178253022796,0.00031269901813458834,31.15999984741211,1.2600002288818324,-0.0321493410568987,-0.16215441155655613,-0.02411654121529991,0.7185691228832858,-0.3304933736599465,-0.03641232311050411,36954.00390625,335.7251281738281
2022-01-26,-0.0027608244495656064,-0.0015658954817724983,0.005612163244895254,31.959999084472656,0.7999992370605469,0.0676907271810486,-0.059917637806354646,0.013766513536764174,0.775615004925761,-0.2540990095839619,0.023982135038925753,36852.12109375,335.1998291015625
2022-01-27,0.007733837890785913,-0.010121491661772904,0.007948473046866834,30.489999771118164,-1.4699993133544922,-0.5083389885844567,-0.6123937478840132,-0.06031452242089493,0.8187789500154045,-0.19994113386034235,-0.013272022093149344,37138.234375,331.82421875
2022-01-28,0.017247505090414967,0.03088705373312727,0.00010275543008731461,27.65999984741211,-2.8299999237060547,-0.22499529349808,-0.317298265197721,0.06134458076415613,0.7740463610935331,-0.25612350913256643,0.0338570598634326,37784.33203125,342.23321533203125
2022-01-29,0.00932135173920975,0.0,0.0,27.65999984741211,0.0,-0.3342442889107802,-0.4118387343824756,0.0,0.7740463610935331,-0.25612350913256643,0.0,38138.1796875,342.23321533203125
2022-01-30,-0.005800446457155093,0.0,0.0,27.65999984741211,0.0,-0.2663810693129201,-0.332509664291795,0.0,0.7740463610935331,-0.25612350913256643,0.0,37917.6015625,342.23321533203125
2022-01-31,0.014804408066392667,0.03147771006620977,-0.00753314265410261,24.82999992370605,-2.8299999237060582,0.0005846718529225,-0.06389674552104982,0.0963810294993463,0.8068181892071872,-0.21465692827868726,0.03918668631726478,38483.125,353.1772766113281
2022-02-01,0.006737318502634114,0.006780433719469441,-0.0015549842519736819,21.959999084472656,-2.870000839233395,-0.0490222193812272,-0.11020289610915862,0.05427422291310518,0.8178753494707298,-0.20104533850119935,-0.0004879403431530486,38743.2734375,355.5801086425781
2022-02-02,-0.04731073995912287,0.00809262551870503,-0.004679433942635143,22.09000015258789,0.13000106811523438,0.1890019877454078,0.11641456180780031,-0.06623020601469692,0.8380794489859295,-0.1766423751349307,0.01966331653598015,36952.984375,358.4693603515625
2022-02-03,0.005441215831991581,-0.041388559138177405,-0.0058541374472642115,24.350000381469727,2.260000228881836,-0.2873188865191454,-0.3467782771149079,-0.04793980713628665,0.8925532102932618,-0.11366914772930353,-0.04617797516687101,37154.6015625,343.9356689453125
2022-02-04,0.11062688345744714,0.012535908936552567,0.0010479525552560794,23.21999931335449,-1.130001068115238,-0.2489224624782007,-0.2976882746030991,0.06586338596756176,0.8237049464612807,-0.19394288787962435,0.015410902028969886,41500.875,348.2743530273437
2022-02-05,-0.0014398234837348135,0.0,0.0,23.21999931335449,0.0,-0.2319907987020001,-0.2725224799604575,0.0,0.8237049464612807,-0.19394288787962435,0.0,41441.1640625,348.2743530273437
2022-02-06,0.02316687651757865,0.0,0.0,23.21999931335449,0.0,-0.5014850911109775,-0.522296623748143,0.0,0.8237049464612807,-0.19394288787962435,0.0,42412.43359375,348.2743530273437
2022-02-07,0.033111582709537346,-0.008077130748680226,-0.0008382421803503835,22.86000061035156,-0.3599987030029297,0.1080416814835598,0.08493281644136308,0.06966211534815094,0.8447180097188426,-0.16875242362970408,0.00011669668146931794,43840.28515625,345.4726257324219
2022-02-08,0.006324808965338507,0.011172773528104227,0.0025125417595850096,21.440000534057617,-1.4200000762939418,0.0602617846383342,0.03474715242234254,0.007376883346061282,0.7871116002964803,-0.23938523592114405,0.01358706581059924,44118.4453125,349.3541564941406
2022-02-09,0.00498211368199733,0.020969261654708058,-0.0015696286175008124,19.959999084472656,-1.480001449584961,0.1397069369623034,0.10880600064970786,0.06528472062009999,0.7207792295824487,-0.3274223888878078,0.041632180383338366,44338.796875,356.7572021484375
2022-02-10,-0.01760339378138894,-0.02289246704904121,0.0006281950342758991,23.90999984741211,3.950000762939453,0.1693703991394347,0.13347096335996605,0.019259666531748418,0.7272647991187252,-0.31846463238970607,-0.03116486787312285,43565.11328125,348.68292236328125
2022-02-11,-0.026921126055171853,-0.032235842593389144,0.005531494204194163,27.36000061035156,3.4500007629394496,-0.0050757007458804,-0.04193544911226117,-0.036510610940326,0.7716666456210765,-0.25920262840281577,-0.04997600728679562,42407.9375,337.6220703125
2022-02-12,-0.00386212183286643,0.0,0.0,27.36000061035156,0.0,0.0413397316068745,0.0038855245797297655,0.0,0.7716666456210765,-0.25920262840281577,0.0,42244.46875,337.6220703125
2022-02-13,-0.001112080209543203,0.0,0.0,27.36000061035156,0.0,0.0547381158769344,0.015647712624568225,0.0,0.7716666456210765,-0.25920262840281577,0.0,42197.515625,337.6220703125
2022-02-14,0.009185768314632001,0.0012382958341148904,0.0030137815342473795,28.32999992370605,0.9699993133544922,-0.1076155740681442,-0.1436505367328848,-0.033316789789168966,0.7638249130829671,-0.26941668743675773,0.00652776581704723,42586.91796875,338.0404052734375
2022-02-15,0.045630604487240684,0.02455989967423776,-0.003950981242853762,25.700000762939453,-2.629999160766598,-0.0969695525083487,-0.12971540674879373,0.08151793569243387,0.6971145855917019,-0.360805483467097,0.05310585152373656,44575.203125,346.4454345703125
2022-02-16,-0.01385529504989858,-0.00025275552328074915,-0.00302573055061435,24.290000915527344,-1.4099998474121094,0.0581796934061094,0.0317258806395528,0.0021314922595098967,0.6957077037440871,-0.3628256727430198,-0.00028222359457698266,43961.859375,346.3578796386719
2022-02-17,-0.08108233071910446,-0.030195125946467824,0.0010444502622118535,28.11000061035156,3.819999694824215,0.1071552153356066,0.07042162388363599,-0.07291788127672316,0.7000558172670578,-0.35659520816477397,-0.05416017652810648,40538.01171875,336.0558776855469
2022-02-18,-0.012586526423760572,-0.011470767263699413,0.002502064053499768,27.75,-0.36000061035155895,-0.025773009768802,-0.063270026709843,-0.0548209845209077,0.7637075985070505,-0.26957028754052914,-0.02280587848899303,40030.9765625,332.2230834960937
2022-02-19,0.002275138191892225,0.0,0.0,27.75,0.0,-0.0529850635831667,-0.06910370389124862,0.0,0.7637075985070505,-0.26957028754052914,0.0,40122.15625,332.2230834960937
2022-02-20,-0.043054421746525254,0.0,0.0,27.75,0.0,0.4726203857870455,0.4596485598174683,0.0,0.7637075985070505,-0.26957028754052914,0.0,38431.37890625,332.2230834960937
2022-02-21,-0.03592381094835431,0.0,0.0,27.75,0.0,0.928829771183462,0.9208630107481973,0.0,0.7637075985070505,-0.26957028754052914,0.0,37075.28125,332.2230834960937
2022-02-22,0.03213453434150656,-0.010094516221286076,-0.00010415094762741463,28.809999465942383,1.0599994659423828,-0.1162912016184102,-0.09939633013665647,-0.02869089132914016,0.8225703794171926,-0.19532123232283793,-0.0057228745222599854,38286.02734375,328.8863220214844
2022-02-23,-0.026183634615420347,-0.025948824095774255,0.0016647976074093411,31.020000457763672,2.210000991821289,0.116931830821408,0.13610201778230757,-0.04840581916220809,0.8301886822765928,-0.18610227598251025,-0.03503135006441952,37296.5703125,320.4618835449219
2022-02-24,0.027399579951549815,0.033052085579846374,0.009827803088777738,30.31999969482422,-0.7000007629394531,0.0085746184608649,0.02638734010450569,0.06780594051058213,0.7686383398944718,-0.26313471932881527,0.05442466620756939,38332.609375,331.2308044433594
2022-02-25,0.022738450595305906,0.015388047166524811,-0.005367443081482081,27.59000015258789,-2.729999542236328,-0.0037115842069402,0.016481214482966886,0.017214214840104804,0.7987492630387151,-0.22470819593405433,0.013133188232786095,39214.21875,336.3672180175781
2022-02-26,-0.0027852723260769346,0.0,0.0,27.59000015258789,0.0,0.0297479212196124,0.032004489582717184,0.0,0.7987492630387151,-0.22470819593405433,0.0,39105.1484375,336.3672180175781
2022-02-27,-0.036334517924426976,0.0,0.0,27.59000015258789,0.0,0.474880887700629,0.4538082500237768,0.0,0.7987492630387151,-0.22470819593405433,0.0,37709.78515625,336.3672180175781
2022-02-28,0.13576425730332167,0.002974320163718093,0.0009310127092417984,30.149999618530277,2.5599994659423864,-0.3315059107564227,-0.3526698277050868,0.06161818912744743,0.7516923773769947,-0.28542811136230867,0.007179814946944432,43193.234375,337.3691711425781
2022-03-01,0.026533380332524757,-0.015429995748609546,0.007212112115519748,33.31999969482422,3.1700000762939418,-0.0310145844215307,-0.06002405086657445,-0.0001587883368450397,0.7242904450446144,-0.3225627998537693,-0.025441019919874804,44354.63671875,332.2035217285156
2022-03-02,-0.009753715935407227,0.016640398633963816,-0.00020538267164137,30.739999771118164,-2.5799999237060547,0.0002411829919034,-0.028756833824439706,-0.020480170470311584,0.6668466649745641,-0.4051951470890734,0.024468886293654783,43924.1171875,337.7777709960937
2022-03-03,-0.03409447865241336,-0.014387949198016505,0.004098801980339983,30.479999542236328,-0.26000022888183594,-0.1050949523807245,-0.13222387809708436,-0.10569700227567098,0.6572668186840953,-0.4196652262220387,-0.017719867549819853,42451.7890625,332.95263671875
2022-03-04,-0.0812852755652355,-0.01459808098902252,0.008755916249864687,31.979999542236328,1.5,0.1249114327881781,0.09991885890372589,-0.07651002256338378,0.6507329575744393,-0.4296559243486852,-0.027024366157124745,39137.60546875,328.1274719238281
2022-03-05,0.0066969062286334315,0.0,0.0,31.979999542236328,0.0,0.0439833243279416,0.00794734341525316,0.0,0.6507329575744393,-0.4296559243486852,0.0,39400.5859375,328.1274719238281
2022-03-06,-0.025202937052357023,0.0,0.0,31.979999542236328,0.0,0.3513845130240244,0.2953382995945951,0.0,0.6507329575744393,-0.4296559243486852,0.0,38419.984375,328.1274719238281
2022-03-07,-0.0093603152707349,-0.03757835099319405,0.006466622330017505,36.45000076293945,4.470001220703125,-0.1645857369783419,-0.22287878579855977,-0.0284963515278608,0.6407862765154922,-0.4450592996316426,-0.055035699138160546,38062.0390625,316.0257873535156
2022-03-08,0.01758473821596099,-0.004658882363048282,-0.0023191677518842415,35.130001068115234,-1.3199996948242188,-0.0719522673830041,-0.14456307699415444,0.04034404419976096,0.6365930392005261,-0.4516246985317727,-0.001736729535243813,38737.26953125,314.556884765625
2022-03-09,0.08046083301385845,0.03536513980219472,-0.011064380697839616,32.45000076293945,-2.6800003051757812,-0.0179861065170746,-0.0863959898615371,0.10606731681864251,0.6216719478608798,-0.47534274038984164,0.0561182837129323,41982.92578125,325.8802795410156
2022-03-10,-0.06254685680053026,-0.011166540178680679,0.005496765736485601,30.229999542236328,-2.220001220703125,0.0585856364754719,-0.00976837526356187,0.007884191720303798,0.6919770887170693,-0.36820243270293784,-0.012863594188789797,39437.4609375,322.2615661621094
2022-03-11,-0.016425482290646415,-0.020956581992410284,0.006173177477547135,30.75,0.5200004577636719,-0.1453712037632131,-0.20422261081139634,0.005823194551599384,0.846509669337095,-0.16663365474873398,-0.022226504159571232,38794.97265625,315.5783386230469
2022-03-12,0.002806706804667275,0.0,0.0,30.75,0.0,-0.1785970216961277,-0.22584951471645887,0.0,0.846509669337095,-0.16663365474873398,0.0,38904.01171875,315.5783386230469
2022-03-13,-0.027475269974984843,0.0,0.0,30.75,0.0,0.1507022952853982,0.09825720239735776,0.0,0.846509669337095,-0.16663365474873398,0.0,37849.6640625,315.5783386230469
2022-03-14,0.04689129940953424,-0.01939137514798122,-0.0006055625161930736,31.770000457763672,1.0200004577636719,-0.2531350787798622,-0.2957643446550114,-0.08987147676542435,0.7742686177169227,-0.2558364142869337,-0.024254573825061108,39666.75390625,309.5177917480469
2022-03-15,-0.00830247189817811,0.030884832849331134,0.00010096539017414216,29.82999992370605,-1.9400005340576207,0.1284884142945361,0.08340080513880019,0.004267407680701863,0.6990849181327726,-0.35798305895856497,0.05610803182360138,39338.78515625,319.2263488769531
2022-03-16,0.044865467674200424,0.036415619838412135,-0.00698916445543354,26.670000076293945,-3.159999847412106,-0.0653111229386625,-0.11180888046538115,0.050984384382004054,0.650058978609542,-0.4306921838863731,0.04454549373419009,41143.9296875,331.0654296875
2022-03-17,-0.004690916877794194,0.012033294864167461,-0.0037679673719654017,25.670000076293945,-1.0,-0.0194510391658247,-0.06853274713729415,0.06258412186930669,0.5909898674943527,-0.5259564064026169,0.006888602648621512,40951.37890625,335.07330322265625
2022-03-18,0.020538517974936225,0.020261423141269098,0.0022421657838627884,23.8700008392334,-1.7999992370605469,0.0843547240394815,0.034400515046899637,0.020863395763575616,0.5213768679579737,-0.6512821437181997,0.041695791172029,41801.15625,341.9316101074219
2022-03-19,0.009274687432012266,0.0,0.0,23.8700008392334,0.0,-0.0272057449040613,-0.07268125522198757,0.0,0.5213768679579737,-0.6512821437181997,0.0,42190.65234375,341.9316101074219
2022-03-20,-0.022600322885966202,0.0,0.0,23.8700008392334,0.0,0.2464641364132559,0.19191405455592772,0.0,0.5213768679579737,-0.6512821437181997,0.0,41247.82421875,341.9316101074219
2022-03-21,-0.004125761887466681,-0.0027839363799889434,0.002744846317045894,23.530000686645508,-0.3400001525878906,0.0414832035893608,-0.016215820507051643,0.024157145131504302,0.5464231334389713,-0.6043616337027268,0.0031651776333091316,41077.99609375,340.98101806640625
2022-03-22,0.03070379130997368,0.0194620049755651,-0.000101549686253537,22.940000534057617,-0.5900001525878906,0.0088363409507043,-0.03340321498449676,0.044165867495084186,0.5376412575987526,-0.6205637486725721,0.004180206281161175,42358.80859375,347.68218994140625
2022-03-23,0.012531246090632069,-0.01447582866443762,0.001319110154342552,23.56999969482422,0.6299991607666016,-0.1798776514610271,-0.18516029330807854,0.0043662002207260665,0.5451494526698918,-0.6066952968293482,-0.024637208298183923,42892.95703125,342.6854553222656
2022-03-24,0.024593725965785046,0.02198352978250143,0.00172228567765938,21.670000076293945,-1.8999996185302734,0.0011100054300697,-0.00808600998526439,0.033601154245968226,0.5329949009598018,-0.6292434215415997,0.05445172954219262,43960.93359375,350.30230712890625
2022-03-25,0.008782716407665668,-0.0008345885473329772,0.00020239517499096564,20.809999465942383,-0.8600006103515625,0.0420132516828844,0.03531452223883443,-0.021733070043925284,0.5640943501383507,-0.5725337539957229,-0.008892896170229337,44348.73046875,350.01007080078125
2022-03-26,0.0034237154855725296,0.0,0.0,20.809999465942383,0.0,0.0008553211615092,-0.005586098372562246,0.0,0.5640943501383507,-0.5725337539957229,0.0,44500.828125,350.01007080078125
2022-03-27,0.050813175792382204,0.0,0.0,20.809999465942383,0.0,-0.5937123885558256,-0.5804871146116009,0.0,0.5640943501383507,-0.5725337539957229,0.0,46820.4921875,350.01007080078125
