Date,BTC-USD,BTC=F,CIFR,CLSK,CORZ,DX-Y.NYB,IREN,MARA,MSFT,NVDA,QQQ,RIOT,UUP,WULF,^VIX,DXY,CME_Annualized_Basis
2022-01-01,47686.8125,,,,,,,,,,,,,,,,
2022-01-02,47345.21875,,,,,,,,,,,,,,,,
2022-01-03,46458.1171875,45865.0,4.610000133514404,9.59000015258789,,96.23999786376953,15.229999542236328,32.88999938964844,321.85638427734375,29.992582321166992,390.7568054199219,22.739999771118164,22.23358154296875,14.4399995803833,16.600000381469727,96.23999786376953,-0.15320048854487384
2022-01-04,45897.57421875,46305.0,4.429999828338623,9.600000381469727,,96.29000091552734,13.460000038146973,34.130001068115234,316.33758544921875,29.16512680053711,385.68841552734375,24.3799991607666,22.250823974609375,13.699999809265137,16.90999984741211,96.29000091552734,0.10652217373620389
2022-01-05,43569.00390625,43830.0,4.090000152587891,8.569999694824219,,96.19000244140625,12.989999771118164,29.6200008392334,304.1940002441406,27.486316680908203,373.8396301269531,21.440000534057617,22.22496223449707,12.75,19.729999542236328,96.19000244140625,0.07188489164772296
2022-01-06,43160.9296875,43215.0,4.329999923706055,8.300000190734863,,96.25,12.510000228881836,29.299999237060547,301.7903137207031,28.057865142822266,373.5770263671875,20.479999542236328,22.24220085144043,13.390000343322754,19.610000610351562,96.25,0.015033127291229645
2022-01-07,41557.90234375,41870.0,3.9800000190734863,8.140000343322754,,95.73999786376953,11.989999771118164,28.489999771118164,301.9441833496094,27.130836486816406,369.53009033203125,20.360000610351562,22.12150764465332,12.90999984741211,18.760000228881836,95.73999786376953,0.09011936752778009
2022-01-08,41733.94140625,41870.0,3.9800000190734863,8.140000343322754,,95.73999786376953,11.989999771118164,28.489999771118164,301.9441833496094,27.130836486816406,369.53009033203125,20.360000610351562,22.12150764465332,12.90999984741211,18.760000228881836,95.73999786376953,0.03912170933262223
2022-01-09,41911.6015625,41870.0,3.9800000190734863,8.140000343322754,,95.73999786376953,11.989999771118164,28.489999771118164,301.9441833496094,27.130836486816406,369.53009033203125,20.360000610351562,22.12150764465332,12.90999984741211,18.760000228881836,95.73999786376953,-0.011911230575513753
2022-01-10,41821.26171875,41745.0,3.7899999618530273,8.020000457763672,,95.98999786376953,11.15999984741211,28.93000030517578,302.165283203125,27.28318214416504,369.77337646484375,20.09000015258789,22.173233032226562,12.510000228881836,19.399999618530273,95.98999786376953,-0.02188218593581334
2022-01-11,42735.85546875,42805.0,3.7300000190734863,8.260000228881836,,95.62000274658203,12.329999923706055,29.579999923706055,302.8479309082031,27.698408126831055,375.3280944824219,20.860000610351562,22.07840347290039,14.149999618530273,18.40999984741211,95.62000274658203,0.01941541513324173
2022-01-12,43949.1015625,43825.0,3.690000057220459,8.470000267028809,,95.0,12.40999984741211,30.360000610351562,306.01116943359375,27.879629135131836,376.8164367675781,21.1299991607666,21.931846618652344,15.539999961853027,17.6200008392334,95.0,-0.03388507835324421
2022-01-13,42591.5703125,42675.0,3.4000000953674316,8.170000076293945,,94.79000091552734,12.069999694824219,28.100000381469727,293.0599670410156,26.461694717407227,367.3899841308594,20.149999618530273,21.92322540283203,15.130000114440918,20.309999465942383,94.79000091552734,0.02350597178395593
2022-01-14,43099.69921875,43120.0,3.369999885559082,8.180000305175781,,95.16999816894531,12.34000015258789,28.59000015258789,298.2520446777344,26.827136993408203,369.6761169433594,20.68000030517578,21.983572006225586,15.0,19.190000534057617,95.16999816894531,0.005652229120290953
2022-01-15,43177.3984375,43120.0,3.369999885559082,8.180000305175781,,95.16999816894531,12.34000015258789,28.59000015258789,298.2520446777344,26.827136993408203,369.6761169433594,20.68000030517578,21.983572006225586,15.0,19.190000534057617,95.16999816894531,-0.015952356439377008
2022-01-16,43113.87890625,43120.0,3.369999885559082,8.180000305175781,,95.16999816894531,12.34000015258789,28.59000015258789,298.2520446777344,26.827136993408203,369.6761169433594,20.68000030517578,21.983572006225586,15.0,19.190000534057617,95.16999816894531,0.0017037002205188242
2022-01-17,42250.55078125,43120.0,3.369999885559082,8.180000305175781,,95.16999816894531,12.34000015258789,28.59000015258789,298.2520446777344,26.827136993408203,369.6761169433594,20.68000030517578,21.983572006225586,15.0,19.190000534057617,95.16999816894531,0.24694093762276215
2022-01-18,42375.6328125,41665.0,3.3399999141693115,7.429999828338623,,95.7300033569336,11.239999771118164,26.06999969482422,290.99285888671875,25.792564392089844,360.4733581542969,18.700000762939453,22.12150764465332,14.0,22.790000915527344,95.7300033569336,-0.20123814522681355
2022-01-19,41744.328125,41575.0,3.0799999237060547,7.130000114440918,,95.51000213623047,11.5600004196167,24.850000381469727,291.6466369628906,24.960126876831055,356.5139465332031,17.489999771118164,22.069782257080078,14.119999885559082,23.850000381469727,95.51000213623047,-0.048675774440913935
2022-01-20,40680.41796875,42675.0,3.25,6.960000038146973,,95.73999786376953,11.399999618530273,24.829999923706055,289.9833068847656,24.047039031982422,351.8834533691406,17.469999313354492,22.138748168945312,14.0,25.59000015258789,95.73999786376953,0.5883662354056058
2022-01-21,36457.31640625,38180.0,2.7699999809265137,6.400000095367432,,95.63999938964844,9.579999923706055,22.059999465942383,284.6278076171875,23.27435302734375,342.126220703125,14.994999885559082,22.07840347290039,12.569999694824219,28.850000381469727,95.63999938964844,0.5670248159421876
2022-01-22,35030.25,38180.0,2.7699999809265137,6.400000095367432,,95.63999938964844,9.579999923706055,22.059999465942383,284.6278076171875,23.27435302734375,342.126220703125,14.994999885559082,22.07840347290039,12.569999694824219,28.850000381469727,95.63999938964844,1.0789817372128376
2022-01-23,36276.8046875,38180.0,2.7699999809265137,6.400000095367432,,95.63999938964844,9.579999923706055,22.059999465942383,284.6278076171875,23.27435302734375,342.126220703125,14.994999885559082,22.07840347290039,12.569999694824219,28.850000381469727,95.63999938964844,0.629557755892141
2022-01-24,36654.328125,37220.0,2.799999952316284,6.590000152587891,,95.91999816894531,9.3100004196167,22.899999618530273,284.9546813964844,23.272357940673828,343.6923522949219,15.130000114440918,22.147371292114258,11.75,29.899999618530273,95.91999816894531,0.18519129519578392
2022-01-25,36954.00390625,36855.0,2.75,6.369999885559082,,95.94999694824219,9.550000190734863,22.18000030517578,277.37823486328125,22.228822708129883,335.7251281738281,14.640000343322754,22.15599250793457,11.140000343322754,31.15999984741211,95.94999694824219,-0.032149341056898754
2022-01-26,36852.12109375,37060.0,3.0,6.079999923706055,,96.48999786376953,10.75,21.459999084472656,285.2816162109375,22.674915313720703,335.1998291015625,14.329999923706055,22.27668571472168,10.899999618530273,31.959999084472656,96.48999786376953,0.06769072718104865
2022-01-27,37138.234375,35565.0,2.75,5.579999923706055,,97.26000213623047,10.149999618530273,19.790000915527344,288.2911071777344,21.850444793701172,331.82421875,13.449999809265137,22.466346740722656,11.039999961853027,30.489999771118164,97.26000213623047,-0.5083389885844567
2022-01-28,37784.33203125,37075.890625,2.7799999713897705,6.059999942779541,,97.2699966430664,11.0,21.969999313354492,296.3867492675781,22.742626190185547,342.23321533203125,14.699999809265137,22.457725524902344,11.050000190734863,27.65999984741211,97.2699966430664,-0.22499529349808
2022-01-29,38138.1796875,37075.890625,2.7799999713897705,6.059999942779541,,97.2699966430664,11.0,21.969999313354492,296.3867492675781,22.742626190185547,342.23321533203125,14.699999809265137,22.457725524902344,11.050000190734863,27.65999984741211,97.2699966430664,-0.33424428891078023
2022-01-30,37917.6015625,37075.890625,2.7799999713897705,6.059999942779541,,97.2699966430664,11.0,21.969999313354492,296.3867492675781,22.742626190185547,342.23321533203125,14.699999809265137,22.457725524902344,11.050000190734863,27.65999984741211,97.2699966430664,-0.2663810693129201
2022-01-31,38483.125,38485.0,3.0399999618530273,6.71999979019165,,96.54000091552734,13.170000076293945,23.540000915527344,299.0020446777344,24.381608963012695,353.1772766113281,15.9399995803833,22.302547454833984,11.680000305175781,24.829999923706055,96.54000091552734,0.0005846718529225472
2022-02-01,38743.2734375,38585.0,3.0399999618530273,7.230000019073486,,96.38999938964844,13.829999923706055,25.030000686645508,296.8675537109375,24.532960891723633,355.5801086425781,16.690000534057617,22.24220085144043,12.859999656677246,21.959999084472656,96.38999938964844,-0.049022219381227264
2022-02-02,36952.984375,37535.0,2.8499999046325684,6.710000038146973,,95.94000244140625,12.489999771118164,23.020000457763672,301.386474609375,25.13438606262207,358.4693603515625,15.569999694824219,22.15599250793457,12.819999694824219,22.09000015258789,95.94000244140625,0.18900198774540788
2022-02-03,37154.6015625,36265.0,2.630000114440918,6.300000190734863,,95.37999725341797,12.5,21.209999084472656,289.64678955078125,23.845895767211914,343.9356689453125,14.789999961853027,22.043916702270508,12.670000076293945,24.350000381469727,95.37999725341797,-0.2873188865191454
2022-02-04,41500.875,40640.0,2.7699999809265137,6.829999923706055,,95.4800033569336,13.149999618530273,23.510000228881836,294.1561584472656,24.215316772460938,348.27435302734375,16.56999969482422,22.026674270629883,12.609999656677246,23.219999313354492,95.4800033569336,-0.24892246247820077
2022-02-05,41441.1640625,40640.0,2.7699999809265137,6.829999923706055,,95.4800033569336,13.149999618530273,23.510000228881836,294.1561584472656,24.215316772460938,348.27435302734375,16.56999969482422,22.026674270629883,12.609999656677246,23.219999313354492,95.4800033569336,-0.23199079870200015
2022-02-06,42412.43359375,40640.0,2.7699999809265137,6.829999923706055,,95.4800033569336,13.149999618530273,23.510000228881836,294.1561584472656,24.215316772460938,348.27435302734375,16.56999969482422,22.026674270629883,12.609999656677246,23.219999313354492,95.4800033569336,-0.5014850911109775
2022-02-07,43840.28515625,44235.0,2.9000000953674316,7.079999923706055,,95.4000015258789,15.359999656677246,25.579999923706055,289.3583679199219,24.62257194519043,345.4726257324219,17.700000762939453,22.035297393798828,13.0,22.860000610351562,95.4000015258789,0.10804168148355987
2022-02-08,44118.4453125,44340.0,2.869999885559082,7.519999980926514,,95.63999938964844,14.359999656677246,26.329999923706055,292.8292541503906,25.000953674316406,349.3541564941406,18.290000915527344,22.069782257080078,13.0,21.440000534057617,95.63999938964844,0.060261784638334204
2022-02-09,44338.796875,44855.0,3.2300000190734863,8.34000015258789,,95.48999786376953,14.279999732971191,28.989999771118164,299.2231750488281,26.59114646911621,356.7572021484375,19.649999618530273,22.043916702270508,13.100000381469727,19.959999084472656,95.48999786376953,0.1397069369623034
2022-02-10,43565.11328125,44180.0,3.2300000190734863,9.3100004196167,,95.55000305175781,14.739999771118164,28.81999969482422,290.7333068847656,25.713905334472656,348.68292236328125,19.270000457763672,22.07840347290039,13.09000015258789,23.90999984741211,95.55000305175781,0.1693703991394347
